"","X","Y"
"239",1215742.40392454,995959.992891029
"240",1214320.45560672,992559.922997865
"241",1215555.54100605,986898.737364594
"242",1216424.70080204,997716.287149617
"243",1211793.11446058,993736.272733512
"244",1209183.78385072,992747.572249926
"245",1145237.76248879,807102.981557824
"246",1127181.98786754,808836.234200229
"247",1145760.30251139,805806.822765534
"248",1145622.02157027,804151.746075841
"249",1144613.51115609,804190.306880458
"250",1143734.69822033,804173.326910524
"251",1142638.59916162,804095.725073685
"252",1146819.22566958,806660.274427339
"253",1125737.74855112,807936.631850353
"254",1146910.35303026,805288.986432707
"255",1145713.02532798,802825.505666186
"256",1130150.98384484,805618.110236426
"257",1141330.84338554,804346.063487732
"258",1142579.04716741,803141.374560671
"259",1143600.33186385,803049.717693943
"260",1144418.68907852,802370.779037582
"261",1147021.11951269,802875.553425475
"262",1145863.68047101,802190.848111535
"263",1147873.11228695,801355.151829878
"264",1146090.93238476,801206.421734172
"265",1144414.28476376,801378.028781478
"266",1142653.2205019,801180.676579045
"267",1142841.10269517,802140.905537851
"268",1128219.22489925,808988.969148098
"269",1141668.00924489,801545.132610122
"270",1140805.9084178,802617.594599866
"271",1125976.90445683,807364.938512795
"272",1145671.09524564,803223.485424114
"273",1140344.82684757,805028.948529405
"274",1137760.55275121,803966.695677221
"275",1138640.92114107,805327.084697758
"276",1138631.58608796,805593.839166311
"277",1138762.54649931,806511.813632663
"278",1132124.52988756,803978.403297214
"279",1117474.93390643,809678.841172505
"280",1134851.6235416,803564.916857334
"281",1131320.20076829,802954.652134408
"282",1134896.22679199,801943.832452798
"283",1134235.60360092,801120.856164479
"284",1136325.9041118,799675.8437176
"285",1140290.778217,801215.652491507
"286",1138823.6295276,799526.524987529
"287",1139606.88459362,798357.74847518
"288",1131483.44114894,806865.332083341
"289",1141321.82083225,797370.901983124
"290",1141245.14767002,799392.218714116
"291",1142699.93018199,798188.730903363
"292",1143181.24861538,799895.879469299
"293",1144226.36784529,797833.944071063
"294",1144447.68120019,799797.45217824
"295",1146162.7569563,800287.954620851
"296",1145914.02141173,799496.521118621
"297",1146076.62409761,798663.027540991
"298",1148550.7896545,798533.985221981
"299",1146569.61465814,797354.214721201
"300",1129607.83476897,813612.643650378
"301",1147024.96846682,793628.162795171
"302",1156394.61092101,781505.882604995
"303",1144560.61658313,783652.367610465
"304",1143552.49286524,791844.807067981
"305",1137515.12086806,797185.009314137
"306",1134408.80992035,798003.976126237
"307",1137231.35070726,793378.932044182
"308",1135060.74025313,786153.073995815
"309",1129270.51669488,792165.11230488
"310",1129845.83463321,790519.643798614
"311",1128854.88063662,786796.194594282
"312",1122537.33184038,788390.471108972
"313",1121693.11322419,794028.672625887
"314",1119750.2155052,799863.998318989
"315",1124421.9653096,813121.428249739
"316",1130226.47213352,806834.859666545
"317",1128760.19671769,806760.408231925
